FWT_CONS 
swl_list 	
swl_01_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_04_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_04 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_08 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_12 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_16 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_20 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_24 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	



LUD_3DS 
swl_list 	
swl_01_01 	LUD_3DS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
